Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2017,"Baldwin County, AL",01003,2322,27.96,38.35,38.51,3286.81,26.74,11.28,5479186,43989,212619,78584,36129,9352917,111990
2016,"Baldwin County, AL",01003,2247,27.72,38.37,38.56,3287.43,26.7,11.5,5267583,42907,207712,76486,36088,8912390,107819
2018,"Baldwin County, AL",01003,2290,28.01,38.23,38.39,3258.78,27.28,11.41,5777585,45596,218022,80927,37469,9940939,115166
2018,"Calhoun County, AL",01015,1265,26.67,38.11,38.25,3168.14,28.85,10.45,2230963,37120,114277,48074,44576,4241974,59020
2016,"Calhoun County, AL",01015,1357,26.46,38.27,38.45,3186.59,28.26,11.01,2118439,34774,115018,47451,43129,3999593,57686
2017,"Calhoun County, AL",01015,1338,26.46,38.25,38.4,3194.95,28.74,10.76,2160712,35721,114664,47920,43637,4095935,58628
2016,"Etowah County, AL",01055,1214,26.33,38.45,38.64,3239.61,28.13,9.9,1928965,34792,102849,39136,38383,3578317,50598
2017,"Etowah County, AL",01055,1213,26.29,38.29,38.48,3228.29,29.01,9.69,1967440,35542,102937,39104,39171,3658631,50527
2018,"Etowah County, AL",01055,1191,26.51,38.22,38.37,3190.27,28.85,9.62,2019789,36918,102501,39164,39890,3784122,50804
2017,"Houston County, AL",01069,1295,26.82,38.32,38.36,3205.3,28.89,11.34,2433198,40642,104373,51610,44353,4241903,63974
2018,"Houston County, AL",01069,1368,27.04,38.29,38.37,3206.84,29.33,11.29,2524113,42398,104722,51973,45946,4440041,64607
2016,"Houston County, AL",01069,1333,26.95,38.29,38.27,3181.58,28.5,11.61,2367827,39459,104239,50751,43999,4113181,63073
2016,"Jefferson County, AL",01073,8655,28.12,38.27,38.34,3174.79,27.17,10.61,19935278,49573,660326,373715,59351,32734578,460435
2017,"Jefferson County, AL",01073,8706,28.32,38.27,38.25,3150.12,27.34,10.47,20979888,52128,659546,377561,61446,34380771,466262
2018,"Jefferson County, AL",01073,8437,28.44,38.24,38.2,3161.29,27.67,10.27,21904669,54730,659300,384248,63291,36083710,475326
2018,"Lee County, AL",01081,1810,28.18,38.24,38.4,3218.48,27.38,12.89,3912175,38036,163941,66136,41312,6235716,84897
2017,"Lee County, AL",01081,1898,28.1,38.36,38.56,3230.81,27.04,12.65,3708770,36437,161641,65431,40550,5889666,83721
2016,"Lee County, AL",01081,1898,27.94,38.36,38.65,3230.87,26.82,12.13,3600699,35690,159297,63380,39528,5685384,80739
2016,"Madison County, AL",01089,4228,28.32,38.1,38.23,3210.99,27.25,10.03,11020712,48026,356821,208293,60703,17136648,251311
2017,"Madison County, AL",01089,4253,28.42,38.13,38.21,3214.86,27.35,9.86,11431214,49158,361665,212738,61723,17778770,257555
2018,"Madison County, AL",01089,4262,28.65,38.02,38.11,3180.03,27.65,9.8,12097091,51445,366519,217881,63689,18855557,263764
2017,"Mobile County, AL",01097,5607,27.1,38.07,38.27,3158.62,27.87,10.84,8880568,36777,414515,186790,49173,15244822,237073
2016,"Mobile County, AL",01097,5504,26.95,37.96,38.22,3144.94,27.58,10.95,8810971,36025,415499,185795,48599,14968213,236002
2018,"Mobile County, AL",01097,5549,27.25,37.95,38.02,3129.31,28.05,10.87,9144816,38243,413757,188181,50135,15823146,239627
2018,"Montgomery County, AL",01101,3139,27.48,37.9,38.04,3083.55,28.68,10.06,5516854,43688,225763,144742,52665,9863168,174400
2017,"Montgomery County, AL",01101,3172,27.15,38.08,38.18,3099.5,28.73,9.96,5449774,42211,227079,145842,51784,9585165,174833
2016,"Montgomery County, AL",01101,3139,27.22,37.96,38.09,3083.67,28.16,9.95,5377241,41388,227072,145002,51520,9398089,173138
2016,"Morgan County, AL",01103,1470,26.78,38.26,38.23,3224.74,27.5,11.04,2605673,37173,118970,50133,46107,4422422,63608
2018,"Morgan County, AL",01103,1432,26.91,38.14,38.18,3205.34,28.04,10.65,2800312,39991,119089,51761,47872,4762462,65753
2017,"Morgan County, AL",01103,1435,26.7,38.12,38.15,3201.54,27.76,10.78,2683177,38289,118811,50531,46616,4549210,64224
2018,"Shelby County, AL",01117,2250,29.45,38.46,38.46,3284.24,27.38,10.42,8051503,54369,215707,95458,55513,11727854,126450
2016,"Shelby County, AL",01117,2387,29.36,38.5,38.56,3300.62,26.84,10.9,7429630,50650,211430,94166,52855,10708944,122977
2017,"Shelby County, AL",01117,2283,29.49,38.43,38.41,3285.29,26.89,10.76,7653867,51852,213729,95101,53622,11082252,125344
2016,"Tuscaloosa County, AL",01125,2591,27.03,38.11,38.2,3158.02,27.88,9.25,4448351,36143,206614,100559,46479,7467557,123003
2017,"Tuscaloosa County, AL",01125,2538,27.43,38.16,38.31,3181.21,27.98,9.65,4571078,37157,207709,101805,47255,7717938,125219
2018,"Tuscaloosa County, AL",01125,2406,27.43,38.23,38.38,3193.12,28.09,9.79,4792741,38822,208911,103888,48394,8110371,127895
2016,"Anchorage Borough, AK",02020,4518,28.6,38.59,38.78,3358.26,27.2,11.3,12147147,62172,297216,168022,71030,18478395,205006
2018,"Anchorage Borough, AK",02020,3975,29.11,38.54,38.68,3361.2,27.62,11.1,12577000,66510,291538,164783,74253,19390315,204451
